Date,Week No,Year,Site,Date_TAG,event_type,ent,tet_ent,tyl_ent,ecoli,Precip,Precip-1,Temp,Temp-1,TSS,DRP,TP,TN,Avg_Flow
18/03/2021,12,2021,BHL-5,BHL-5-12-2021,base,141,28,6,79,,0,,26.3,,,,,
18/03/2021,12,2021,T8,T8-12-2021,base,126,16,1,75,,,,,0.5,0.083,0.087,16.402,0.001087365
18/03/2021,12,2021,S11,S11-12-2021,base,77,21,2,10,,,,,0.5,0.028,0.033,18.149,0.022349047
18/03/2021,12,2021,SW12,SW12-12-2021,base,20,0,0,3,,,,,3,0.002,0.027,10.91,0.022349047
09/04/2021,15,2021,BHL-5,BHL-5-15-2021,base,52,4,1,16,0,,67.4,,,,,,
09/04/2021,15,2021,T8,T8-15-2021,base,888,125,39,1000,0,0,67.4,67.4,0.5,0.081,0.085,20.973,0.012124475
09/04/2021,15,2021,S11,S11-15-2021,base,88,14,3,40,0,0,67.4,67.4,2,0.015,0.021,25.343,0.009242904
09/04/2021,15,2021,SW12,SW12-15-2021,base,6,1,0,4,0,0,67.4,67.4,6,0.001,0.031,10.29,0.073479254
15/04/2021,16,2021,BHL-5,BHL-5-16-2021,base,38,3,0,16,,0,,67.4,,,,,
15/04/2021,16,2021,T8,T8-16-2021,base,172,3,1,380,,,,,0.5,0.049,0.047,21.386,0.004176497
15/04/2021,16,2021,S11,S11-16-2021,base,42,17,3,4,,,,,3,0.012,0.013,22.271,0
15/04/2021,16,2021,SW12,SW12-16-2021,base,12,1,0,1,,,,,3,0.004,0.017,10.539,0
30/04/2021,18,2021,BHL-5,BHL-5-18-2021,base,120,26,0,780,,,,,,,,,
30/04/2021,18,2021,T8,T8-18-2021,base,72,0,1,100,,,,,0.5,0.043,0.045,20.521,0.002379324
30/04/2021,18,2021,S11,S11-18-2021,base,34,9,2,10,,,,,3,0.003,0.016,21.722,0.001783512
30/04/2021,18,2021,SW12,SW12-18-2021,base,25,1,0,9,,,,,16.66666667,0.004,0.04,8.7225,0.007936815
12/05/2021,20,2021,BHL-5,BHL-5-20-2021,base,170,4,1,240,0,,34.1,,,,,,
12/05/2021,20,2021,T8,T8-20-2021,base,10,3,0,8,0,0,34.1,34.1,0.5,0.055,0.052,19.999,0.002914508
12/05/2021,20,2021,S11,S11-20-2021,base,24,4,1,11,0,0,34.1,34.1,1.333333333,0.018,0.009,21.548,0
12/05/2021,20,2021,SW12,SW12-20-2021,base,113,11,1,26,0,0,34.1,34.1,10.33333333,0.021,0.057,4.9491,0.004270186
26/05/2021,22,2021,T8,T8-22-2021,base,25,2,0,2,,0,,34.1,0.5,0.041,0.043,20.414,0.002165474
26/05/2021,22,2021,BHL-5,BHL-5-22-2021,base,760,41,1,1350,,,,,,,,,
26/05/2021,22,2021,SW12,SW12-22-2021,base,376,51,0,54,,,,,19.6,0.001,0.102,2.3133,0.004388836
13/07/2021,29,2021,T8,T8-29-2021,base,500,83,12,276,,,,,0.5,0.042,0.046,23.695,0.011694444
13/07/2021,29,2021,BHL-5,BHL-5-29-2021,base,1670,58,6,660,,,,,,,,,
13/07/2021,29,2021,SW12,SW12-29-2021,base,500,84,13,454,,,,,13.66666667,0.069,0.107,1.41102,0
04/08/2021,32,2021,T8,T8-32-2021,base,5000,1000,1044,5000,0.32,,54.2,,45,3.626,5.724,19.207,0.005042295
04/08/2021,32,2021,SW12,SW12-32-2021,base,1176,94,12,628,0.32,0.32,54.2,54.2,19,0.062,0.166,1.1928,0.000974113
31/08/2021,36,2021,T8,T8-36-2021,base,4700000,660000,22500,4000000,,0.32,,54.2,20.5,5.748,6.391,15.116,0.001149607
21/09/2021,39,2021,T8,T8-39-2021,base,2940,48,1,420,,,,,0.5,0.681,0.726,20.339,0.00011029
05/10/2021,41,2021,T8,T8-41-2021,base,100,31,0,30,0,,49.3,,1.333333333,0.39,0.39,17.319,0.00017825
30/10/2021,44,2021,T8,T8-44-2021,base,500,250,14,117,,0,,49.3,0.5,0.156,0.184,18.751,0.010162637
30/10/2021,44,2021,S11,S11-44-2021,base,500,54,8,688,,,,,0.5,0.033,0.038,23.327,0.002319249
30/10/2021,44,2021,SW12,SW12-44-2021,base,500,278,23,500,,,,,6.666666667,0.111,0.191,3.5432,0.002319249
02/11/2021,45,2021,T8,T8-45-2021,base,120,4,0,50,0.03,,3.4,,0.5,0.099,0.107,17.327,0.004372488
02/11/2021,45,2021,BHL-5,BHL-5-45-2021,base,3900,30,1,800,0.03,0.03,3.4,3.4,,,,,
02/11/2021,45,2021,S11,S11-45-2021,base,5420,96,3,3360,0.03,0.03,3.4,3.4,2.333333333,0.023,0.036,21.793,0.001678616
02/11/2021,45,2021,SW12,SW12-45-2021,base,120,2,1,260,0.03,0.03,3.4,3.4,4.666666667,0.042,0.102,5.9447,0.001678616
28/04/2020,18,2020,W11,W11-18-2020,base,0,0,0,0,0.06,0.03,66.7,3.4,8,0.001,0.033,0,0
